Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
101,21,NSF,A,Spatial,3,Pool,4.3,1.529,0.359,0.523,0.4,0.162,2.1,0.772,1.0,0.328,0.7,0.266,1,4.2,3.8,0.440,1.15
102,21,NSF,A,Spatial,4,Pool,11.4,4.408,0.388,0.251,2.5,0.988,1.3,0.615,5.6,1.983,1.9,0.822,1,11.3,6.2,0.220,3.32
103,22,NSF,A,Spatial,3,Pool,6.7,2.606,0.390,0.266,0.0,0.000,5.2,2.060,1.5,0.546,0.0,0.000,1,6.7,4.3,0.250,3.78
104,22,NSF,A,Spatial,4,Pool,60.0,19.735,0.329,0.026,27.2,8.670,19.9,6.880,4.4,1.397,8.5,2.789,0,,29.6,,
105,23,NSF,A,Spatial,3,Pool,8.0,2.200,0.274,0.292,0.0,0.000,3.0,0.962,5.0,1.238,0.0,0.000,1,8.0,4.8,0.268,2.15
106,23,NSF,A,Spatial,4,Pool,11.8,3.949,0.335,0.302,2.1,0.462,0.0,0.000,5.3,1.747,4.4,1.739,1,11.8,7.7,0.282,3.13
107,24,NSF,A,Spatial,3,Pool,35.4,12.403,0.350,0.087,12.1,4.252,9.6,3.455,6.9,2.226,6.8,2.470,1,35.4,20.4,0.075,23.68
108,24,NSF,A,Spatial,4,Pool,2.6,0.910,0.350,0.771,0.0,0.000,0.0,0.000,1.3,0.537,1.3,0.373,1,2.6,2.1,0.703,0.35
109,25,NSF,A,Spatial,3,Pool,60.0,17.194,0.287,0.089,23.9,7.274,25.3,6.451,1.7,0.663,9.1,2.806,0,,28.2,,
110,25,NSF,A,Spatial,4,Pool,8.6,2.336,0.273,0.474,2.7,0.556,4.4,1.329,1.5,0.451,0.0,0.000,1,8.6,6.5,0.446,4.60
111,26,NSF,A,Spatial,3,Pool,60.0,19.648,0.327,0.014,12.5,4.550,9.4,3.522,28.3,8.043,9.9,3.533,0,,33.9,,
112,26,NSF,A,Spatial,4,Pool,8.0,2.711,0.339,0.441,1.1,0.326,0.0,0.000,3.5,1.101,3.4,1.284,1,8.0,6.4,0.401,2.96
113,27,NSF,A,Spatial,3,Pool,2.3,0.578,0.255,0.939,0.0,0.000,0.0,0.000,2.3,0.578,0.0,0.000,1,2.3,1.8,0.874,0.12
114,27,NSF,A,Spatial,4,Pool,9.4,2.654,0.283,0.449,5.5,1.492,2.4,0.727,1.5,0.435,0.0,0.000,1,9.4,6.4,0.436,3.56
115,28,NSF,A,Spatial,3,Pool,4.4,1.255,0.282,0.421,0.0,0.000,3.0,0.745,1.5,0.510,0.0,0.000,1,4.4,2.5,0.376,1.49
116,28,NSF,A,Spatial,4,Pool,14.6,5.215,0.357,0.213,5.8,2.038,0.0,0.000,0.9,0.260,7.9,2.917,1,14.6,8.4,0.208,8.52
117,29,NSF,A,Spatial,3,Pool,7.5,2.371,0.315,0.464,1.6,0.534,1.6,0.733,4.3,1.105,0.0,0.000,1,7.5,5.4,0.448,1.63
118,29,NSF,A,Spatial,4,Pool,4.1,1.277,0.314,0.481,0.0,0.000,1.3,0.388,2.8,0.889,0.0,0.000,1,4.1,2.7,0.447,0.65
119,30,NSF,A,Spatial,3,Pool,3.3,1.189,0.360,0.959,1.3,0.451,0.0,0.000,0.8,0.229,1.2,0.509,1,3.3,2.8,0.941,0.12
120,30,NSF,A,Spatial,4,Pool,5.4,1.832,0.342,0.590,0.0,0.000,0.0,0.000,3.2,0.952,2.2,0.880,1,5.3,4.0,0.507,1.10
121,1,NSF,A,Spatial,5,Pool,60.0,18.346,0.306,0.036,22.6,7.491,12.1,3.483,6.9,1.651,18.4,5.720,0,,31.2,,
122,1,NSF,A,Spatial,6,Pool,8.1,2.329,0.288,0.244,0.4,0.124,1.5,0.413,3.6,1.096,2.6,0.696,1,8.1,4.1,0.231,2.47
123,2,NSF,A,Spatial,5,Pool,7.7,2.724,0.356,0.391,1.3,0.490,2.9,1.017,3.4,1.218,0.0,0.000,1,7.6,4.9,0.336,1.90
124,2,NSF,A,Spatial,6,Pool,4.4,1.376,0.315,0.360,0.0,0.000,0.0,0.000,4.4,1.376,0.0,0.000,1,4.4,3.2,0.326,0.90
125,3,NSF,A,Spatial,5,Pool,3.9,1.367,0.354,0.698,0.8,0.327,0.0,0.000,1.5,0.418,1.6,0.622,1,3.9,3.3,0.695,0.67
126,3,NSF,A,Spatial,6,Pool,4.5,1.415,0.317,0.543,1.4,0.487,0.0,0.000,1.9,0.475,1.2,0.453,1,4.4,3.6,0.534,0.78
